"";"LETO";"DEJAVNOST";"REGIJA";"SKUPNO"
"74";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Posavska";11719,74
"75";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Primorsko-notranjska";11688,35
"76";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Savinjska";11991,27
"77";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Zasavska";12295,64
"78";"2014";"H PROMET IN SKLADIŠCENJE";"Gorenjska";18412,03
"79";"2014";"H PROMET IN SKLADIŠCENJE";"Goriška";13607,79
"80";"2014";"H PROMET IN SKLADIŠCENJE";"Jugovzhodna Slovenija";12723,19
"81";"2014";"H PROMET IN SKLADIŠCENJE";"Koroška";12014,22
"82";"2014";"H PROMET IN SKLADIŠCENJE";"Osrednjeslovenska";14019,81
"83";"2014";"H PROMET IN SKLADIŠCENJE";"Podravska";13791,89
"84";"2014";"H PROMET IN SKLADIŠCENJE";"Pomurska";11732,69
"85";"2014";"H PROMET IN SKLADIŠCENJE";"Posavska";13679,79
"86";"2014";"H PROMET IN SKLADIŠCENJE";"Primorsko-notranjska";14265,11
"87";"2014";"H PROMET IN SKLADIŠCENJE";"Savinjska";13527,81
"88";"2014";"H PROMET IN SKLADIŠCENJE";"Zasavska";13605,39
"89";"2014";"I GOSTINSTVO";"Gorenjska";11030,89
"90";"2014";"I GOSTINSTVO";"Goriška";11106,21
"91";"2014";"I GOSTINSTVO";"Jugovzhodna Slovenija";11709,11
"92";"2014";"I GOSTINSTVO";"Koroška";9114,37
"93";"2014";"I GOSTINSTVO";"Osrednjeslovenska";10673,69
"94";"2014";"I GOSTINSTVO";"Podravska";9577,76
"95";"2014";"I GOSTINSTVO";"Pomurska";10318,83
"96";"2014";"I GOSTINSTVO";"Posavska";10191,71
"97";"2014";"I GOSTINSTVO";"Primorsko-notranjska";10341,33
"98";"2014";"I GOSTINSTVO";"Savinjska";10936,98
"99";"2014";"I GOSTINSTVO";"Zasavska";8048,23
"100";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Gorenjska";18765,1
"101";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Goriška";18248,04
"102";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Jugovzhodna Slovenija";15847,69
"103";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Koroška";14729,53
"104";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osrednjeslovenska";22130,75
"105";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Podravska";17702,34
"106";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Pomurska";17056,99
"107";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Posavska";15788,12
"108";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Primorsko-notranjska";16092,4
"109";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Savinjska";17273,53
"110";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Zasavska";15801,64
"111";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Gorenjska";19707,66
"112";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Goriška";18418,19
"113";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Jugovzhodna Slovenija";19130,06
"114";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Koroška";18273,93
"115";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Osrednjeslovenska";24254,63
"116";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Podravska";20451,83
"117";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Pomurska";19250,68
"118";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Posavska";21437,97
"119";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Primorsko-notranjska";18456,98
"120";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Savinjska";19647,35
"121";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Zasavska";17771,03
"122";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Gorenjska";13825,49
"123";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Goriška";11884,54
"124";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Jugovzhodna Slovenija";16619,29
"125";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Koroška";14976
"126";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Osrednjeslovenska";15341,32
"127";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Podravska";14542,94
"128";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Pomurska";16039,01
"129";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Posavska";15329,51
"130";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Primorsko-notranjska";10234,36
"131";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Savinjska";16722,17
"132";"2014";"L POSLOVANJE Z NEPREMICNINAMI";"Zasavska";18900,98
"133";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Gorenjska";15702,54
"134";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Goriška";17414,83
"135";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Jugovzhodna Slovenija";23507,8
"136";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Koroška";15082,27
"137";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Osrednjeslovenska";18119,24
"138";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Podravska";15605,41
"139";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Pomurska";13992,31
"140";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Posavska";14463,27
"141";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Primorsko-notranjska";14313,05
"142";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Savinjska";14541,52
"143";"2014";"M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI";"Zasavska";17050,93
"144";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Gorenjska";9661,08
"145";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Goriška";9758,77
"146";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Jugovzhodna Slovenija";10563,15
"147";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Koroška";13023,66
"148";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Osrednjeslovenska";10286,52
"149";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Podravska";9950,12
"150";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Pomurska";10970,07
"151";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Posavska";8923,38
"152";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Primorsko-notranjska";13177,76
"153";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Savinjska";9498,91
"154";"2014";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Zasavska";10320,23
"155";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Gorenjska";16291,04
"156";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Goriška";16986,86
"157";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Jugovzhodna Slovenija";16697,11
"158";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Koroška";16954,87
"159";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Osrednjeslovenska";18222,49
"160";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Podravska";16440,86
"161";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Pomurska";16276,67
"162";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Posavska";16657,45
"163";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Primorsko-notranjska";15893,27
"164";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Savinjska";16628,01
"165";"2014";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Zasavska";15956,66
"166";"2014";"P IZOBRAŽEVANJE";"Gorenjska";15900,43
"167";"2014";"P IZOBRAŽEVANJE";"Goriška";15551,58
"168";"2014";"P IZOBRAŽEVANJE";"Jugovzhodna Slovenija";15440,96
"169";"2014";"P IZOBRAŽEVANJE";"Koroška";15811,28
"170";"2014";"P IZOBRAŽEVANJE";"Osrednjeslovenska";17448,89
"171";"2014";"P IZOBRAŽEVANJE";"Podravska";16920,2
"172";"2014";"P IZOBRAŽEVANJE";"Pomurska";15842,09
"173";"2014";"P IZOBRAŽEVANJE";"Posavska";15355
"174";"2014";"P IZOBRAŽEVANJE";"Primorsko-notranjska";16011,7
"175";"2014";"P IZOBRAŽEVANJE";"Savinjska";15895,89
"176";"2014";"P IZOBRAŽEVANJE";"Zasavska";15535,48
"177";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Gorenjska";16808,67
"178";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Goriška";16390,98
"179";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Jugovzhodna Slovenija";16723,5
"180";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Koroška";16645,66
"181";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Osrednjeslovenska";17859,07
"182";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Podravska";16995,46
"183";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Pomurska";16077,85
"184";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Posavska";15783,25
"185";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Primorsko-notranjska";15903,9
"186";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Savinjska";16575,55
"187";"2014";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Zasavska";15887,32
"188";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Gorenjska";15533,21
"189";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Goriška";17482,94
"190";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Jugovzhodna Slovenija";14182,56
"191";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Koroška";13477,28
"192";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Osrednjeslovenska";17227,47
"193";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Podravska";15776,25
"194";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Pomurska";13846,44
"195";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Posavska";13559,7
"196";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Primorsko-notranjska";13104,16
